input,target
61735+99709,161444
478+259,737
44488+35489,79977
12707+58778,71485
66+45,111
8+7,15
313349+845876,1159225
7+9,16
59+26,85
28+96,124
879646+347457,1227103
57+57,114
9667+608,10275
7407+3346,10753
567+655,1222
39879+41136,81015
97+78,175
8+8,16
97+69,166
5+5,10
857417+721567,1578984
46+99,145
79+35,114
489+849,1338
155735+257376,413111
447+906,1353
65+68,133
855+969,1824
9+7,16
95118+91817,186935
19796+31649,51445
5128+9576,14704
69408+96005,165413
27+48,75
89+77,166
592326+342109,934435
28519+55335,83854
67+46,113
6+27,33
735+6078,6813
3698+1126,4824
12319+79559,91878
1856+7486,9342
8+5,13
8+8,16
5415+6437,11852
704505+232908,937413
29+76,105
5+9,14
97+67,164
28+86,114
16+27,43
8+6,14
498+507,1005
7+5,12
6085+6986,13071
6+55,61
15+18,33
8728+9048,17776
2588+5917,8505
3238+8229,11467
65+45,110
34245+57986,92231
25659+29067,54726
202035+265096,467131
3968+7377,11345
71487+55249,126736
718+589,1307
605+827,1432
6+8,14
5+9,14
547687+182686,730373
6+36,42
929887+85839,1015726
521299+328966,850265
67+45,112
7759+2408,10167
7+9,16
991067+227236,1218303
6936+3518,10454
67+16,83
372459+18486,390945
9+8,17
18+87,105
215409+641768,857177
43816+19958,63774
68+8,76
448565+451017,899582
973968+417896,1391864
86098+19199,105297
5+6,11
669+59,728
980668+39208,1019876
460747+555345,1016092
7425+3887,11312
527157+598358,1125515
655+975,1630
347556+752258,1099814
5+6,11
84887+26919,111806
95+65,160
856+627,1483
9915+5377,15292
6+9,15
77+35,112
373206+430976,804182
8938+6289,15227
64548+65539,130087
129+537,666
18789+51936,70725
374907+797799,1172706
875+8056,8931
5146+9405,14551
626379+484538,1110917
28959+9058,38017
91865+23395,115260
76+15,91
695+665,1360
5218+4526,9744
712468+335157,1047625
4095+809,4904
208007+564095,772102
23977+28355,52332
6+9,15
729+826,1555
815+4419,5234
826+179,1005
99+56,155
7189+1538,8727
736+606,1342
915+818,1733
998867+834529,1833396
6666+6177,12843
8+5,13
969+478,1447
35+149,184
25089+469,25558
7+69,76
285039+172359,457398
6+8,14
9+9,18
4036+5265,9301
7+28,35
99+46,145
3469+667,4136
7497+606,8103
311128+712856,1023984
47+88,135
417+169,586
75+39,114
79+75,154
5+6,11
8+6,14
5+6,11
7279+9087,16366
6+97,103
6+7,13
736+67,803
8136+2357,10493
713988+482285,1196273
165+885,1050
9+6,15
21307+609067,630374
9815+7966,17781
739+798,1537
727+788,1515
426+646,1072
67+45,112
65+88,153
58+36,94
7778+6758,14536
287+338,625
36+99,135
658+439,1097
1876+4968,6844
6+6,12
689+626,1315
6925+4926,11851
326578+327599,654177
11109+515,11624
237+416,653
979+757,1736
418226+261897,680123
8746+3129,11875
2675+6725,9400
9+7,16
2709+7959,10668
125+297,422
138+546,684
970995+625437,1596432
7527+3449,10976
478+1587,2065
6+9,15
9+5,14
768+606,1374
558667+525488,1084155
48+17,65
8105+2137,10242
6+7,13
6+9,15
5+5,10
129757+191029,320786
15+16,31
8+6,14
65+55,120
737929+749076,1487005
19+25,44
87+96,183
35+25,60
696+496,1192
3649+5387,9036
7+7,14
15+75,90
615+709,1324
959195+457577,1416772
758+837,1595
9+56,65
5678+7728,13406
8+28,36
658+66,724
923106+672456,1595562
65+28,93
339+797,1136
627058+115798,742856
876+366,1242
2545+9697,12242
9+6,15
52597+71077,123674
358+356,714
859538+259397,1118935
79706+58166,137872
19+87,106
4178+6349,10527
73306+559787,633093
77+57,134
39919+40386,80305
66047+43246,109293
5+8,13
7+8,15
88+28,116
14748+39747,54495
59+6,65
5+7,12
25688+6567,32255
7+49,56
89+29,118
2215+8235,10450
7+7,14
515+768,1283
66285+13729,80014
7+6,13
5+9,14
3326+285568,288894
847068+810395,1657463
6+6,12
51958+82635,134593
99+45,144
869+237,1106
35467+14707,50174
6329+1069,7398
6+6,12
94577+3946,98523
49+5,54
36+77,113
769278+789437,1558715
9+5,14
5+9,14
5+7,12
7+8,15
1059+3366,4425
460407+142475,602882
75+25,100
5+5,10
984406+971238,1955644
8+8,16
5+8,13
2098+148,2246
340437+370098,710535
3049+5198,8247
828+558,1386
255629+965759,1221388
866+568,1434
9+7,16
77+77,154
58296+58295,116591
16+68,84
9+9,18
9+5,14
82355+71557,153912
63958+61379,125337
86+15,101
4366+4385,8751
415+321146,321561
5605+9458,15063
4697+9796,14493
7555+4768,12323
99575+6078,105653
8+7,15
31765+53975,85740
7+7,14
96108+29086,125194
2745+9689,12434
918725+742047,1660772
12137+77308,89445
426+3598,4024
1126+2298,3424
75605+85818,161423
4688+6115,10803
7+7,14
3218+219,3437
78586+47126,125712
80338+24265,104603
7+5,12
84985+4255,89240
38+76,114
1268+8816,10084
26+19,45
9239+6535,15774
608+565,1173
6+7,13
3278+9869,13147
984716+690616,1675332
5465+47546,53011
47879+69897,117776
75179+58896,134075
444985+355397,800382
37+57,94
49638+92437,142075
853797+821439,1675236
29+77,106
746+978,1724
49147+16866,66013
5+6,11
898+488,1386
40678+91766,132444
2217+5005,7222
7+5,12
21639+9007,30646
7+9,16
633397+994857,1628254
86+95,181
636+896,1532
6+5,11
71139+63377,134516
34106+34696,68802
33118+67728,100846
608438+768559,1376997
8+9,17
93528+19628,113156
5566+4346,9912
78+9,87
170699+556076,726775
1648+5348,6996
227+398,625
830659+31219,861878
41849+72425,114274
3647+2816,6463
5+99,104
876236+39117,915353
7+6,13
85225+82308,167533
806+887,1693
8+6,14
25+28,53
99+47,146
2136+2908,5044
8+6,14
7+8,15
88688+78598,167286
86288+72037,158325
9+7,16
665+649,1314
735+37,772
9246+6328,15574
6+8,14
778+538,1316
326+1458,1784
7+8,15
9458+8875,18333
8+5,13
487+206,693
6+9,15
835+855,1690
8+8,16
599+548,1147
915+779,1694
8989+1265,10254
228+317,545
63008+40237,103245
6269+8946,15215
25+5,30
378+275,653
5+8,13
749+987,1736
82987+49337,132324
8+8,16
477+609,1086
12837+33727,46564
9+9,18
698+548,1246
6+6,12
50668+62675,113343
7+7,14
7+6,13
9368+6348,15716
59+26,85
61117+10289,71406
2008+7205,9213
57+97,154
5+6,11
97+105,202
26715+49496,76211
42175+94289,136464
8+9,17
67+55,122
758446+663458,1421904
26+28,54
5+5,10
17225+14556,31781
66186+94378,160564
263515+4627,268142
5728+5658,11386
24616+75205,99821
96+79,175
606+56,662
550177+833259,1383436
868999+936077,1805076
487049+506919,993968
9938+5938,15876
397+4647,5044
9+6,15
6+8,14
68+5,73
7+9,16
84908+79385,164293
136859+283067,419926
7+6,13
2425+4465,6890
28+56,84
7+7,14
12109+31425,43534
8+7,15
9+9,18
7949+1515,9464
386+408,794
22525+88375,110900
566187+632395,1198582
137878+655309,793187
8+6,14
9+7,16
7+7,14
7125+1987,9112
27785+85199,112984
7+6,13
409+108,517
626+457,1083
5175+4469,9644
5+7,12
286+995,1281
7+5,12
7+7,14
935+916,1851
45+87,132
98485+41609,140094
548+25,573
5+9,14
5+8,13
8+7,15
4299+8315,12614
916+76,992
86+36,122
4935+7839,12774
8+6,14
84528+69696,154224
917+646,1563
16939+429298,446237
6+6,12
301625+341906,643531
61536+722155,783691
848+738,1586
653376+746046,1399422
8+8,16
75+85,160
146+248,394
76+818,894
43738+47647,91385
78+26,104
6+8,14
8216+4589,12805
845+607,1452
9+5,14
37+87,124
27809+20589,48398
739+2147,2886
493698+995167,1488865
3509+5576,9085
79+37,116
1199+2365,3564
6+8,14
1879+2335,4214
7+45,52
9+8,17
7+9,16
5396+1145,6541
7489+20736,28225
1897+3945,5842
8+7,15
208+199,407
7+6,13
6+26,32
26+46,72
3925+138,4063
217+278,495
5085+2616,7701
6+6,12
6+8,14
8+6,14
888996+572987,1461983
762979+454936,1217915
646875+191206,838081
89+75,164
829+8326,9155
95+89,184
6+9,15
88145+45827,133972
75+38,113
86+25,111
68158+72455,140613
5+5,10
5+5,10
7+6,13
137179+850905,988084
561846+442187,1004033
89+79,168
128+249,377
56709+86705,143414
9+5,14
7+6,13
1587+4827,6414
1368+2489,3857
7+57,64
606+809,1415
633698+987955,1621653
9+9,18
6+45,51
5+8,13
889+45,934
877387+363816,1241203
2127+6946,9073
946426+36259,982685
314419+706468,1020887
47+7,54
58+56,114
30176+64647,94823
889+39,928
388825+452797,841622
40435+333537,373972
51637+21119,72756
871809+933918,1805727
326536+60118,386654
56179+86888,143067
5+6,11
95+15,110
828+985,1813
6+8,14
448+918,1366
936598+520145,1456743
89415+84335,173750
5099+2638,7737
96+96,192
37456+56115,93571
285+867,1152
53765+660817,714582
6+8,14
5+6,11
9+6,15
918+68,986
58+35,93
6+6,12
67+887,954
18+79,97
829388+440138,1269526
879+355,1234
886+268,1154
6+6,12
101577+90859,192436
44929+7495,52424
98+99,197
964898+971849,1936747
99+67,166
259149+84996,344145
16+26,42
67+66,133
69089+72615,141704
7238+4835,12073
59539+82806,142345
615+297,912
8268+95827,104095
8697+6565,15262
87615+238596,326211
345+687,1032
46+89,135
275+305,580
9+8,17
10168+83118,93286
500166+809419,1309585
509+765,1274
99+76,175
53448+77796,131244
78+266,344
2506+8179,10685
29918+406888,436806
335+736,1071
6+7,13
566+176,742
3215+19208,22423
6385+5276,11661
5619+3379,8998
9+7,16
27+959,986
6+8,14
169+445,614
6+8,14
67+75,142
77825+21026,98851
982135+486298,1468433
97367+38318,135685
56056+39709,95765
6619+7709,14328
6828+506,7334
1229+3556,4785
650586+714695,1365281
25+19,44
96796+8987,105783
699847+802206,1502053
385+699,1084
424957+988119,1413076
887+708,1595
523868+767385,1291253
974616+917795,1892411
82998+68728,151726
97+39,136
5805+6239,12044
55+667,722
790019+248257,1038276
287+677,964
25948+23286,49234
633899+156247,790146
7+6,13
25627+92698,118325
86+97,183
381867+550785,932652
508+959,1467
3037+4917,7954
117979+203859,321838
1536+64157,65693
558+315,873
96+37,133
1368+7509,8877
9+7,16
15+7,22
696+818,1514
780929+704529,1485458
89+59,148
5866+6056,11922
78749+42278,121027
548597+655949,1204546
49+96,145
5+8,13
5+26,31
937+136,1073
55+17,72
55+77,132
9+6,15
214448+889669,1104117
27369+77468,104837
55+86,141
431836+281237,713073
6+6,12
49106+60185,109291
78+27,105
59+8,67
68176+22578,90754
5847+7267,13114
59+25,84
76835+16089,92924
78+25,103
8+6,14
98+96,194
25+27,52
99+39,138
165918+438826,604744
56+37,93
58449+61776,120225
264308+954496,1218804
2799+9705,12504
79+16,95
35+97,132
1379+5298,6677
22019+25606,47625
486+79786,80272
75359+85239,160598
3049+436198,439247
71527+39105,110632
99+56,155
437485+309305,746790
13978+19128,33106
2135+2176,4311
198+1116,1314
2208+1905,4113
8736+3937,12673
7+9,16
58+38,96
74815+24216,99031
7+5,12
25098+52299,77397
98+356,454
38+995,1033
706+139,845
4365+5856,10221
42307+41208,83515
68+15,83
739+876,1615
995+76,1071
690635+224818,915453
207+347,554
6+5,11
5+9,14
978+568,1546
579+955,1534
237+478,715
6+7,13
1088+185,1273
5+6,11
8+9,17
65+48,113
8+6,14
8089+1575,9664
6+9,15
5+7,12
138065+713078,851143
104586+474367,578953
5+6,11
58858+76696,135554
318+805,1123
966+276,1242
628+158,786
32705+469,33174
4598+115,4713
8+9,17
4008+4935,8943
94909+53155,148064
95+97,192
49765+98739,148504
797165+698416,1495581
2378+4075,6453
3329+5627,8956
99+49,148
97019+42625,139644
6+8,14
9+8,17
16026+4185,20211
6+7,13
898979+211709,1110688
948019+864489,1812508
76+55,131
97859+70826,168685
5+7,12
75715+23698,99413
7+9,16
2875+9425,12300
82768+97049,179817
9+7,16
15+97,112
6075+8327,14402
8357+6519,14876
2409+9648,12057
83498+60478,143976
17027+85166,102193
96+37,133
882088+934867,1816955
90629+46726,137355
91608+91149,182757
6+5,11
92366+13377,105743
523048+588165,1111213
545+476,1021
97+15,112
3447+965,4412
7185+2498,9683
8809+67829,76638
7+5,12
8137+5928,14065
8698+8937,17635
987489+694158,1681647
509+117,626
20756+36059,56815
5+8,13
8+5,13
89+69,158
38+67,105
894556+906705,1801261
5+9,14
248949+204667,453616
966767+56429,1023196
7+7,14
7587+978,8565
387+906,1293
5466+6226,11692
167+5997,6164
66+225,291
6+6,12
676+748,1424
9166+117,9283
17+55,72
86007+80179,166186
77829+31298,109127
4727+64268,68995
6+5,11
85+46,131
38+67,105
809+788,1597
486+247,733
35+89,124
407+67,474
477+527,1004
25+35,60
88+97,185
177638+342729,520367
6+9,15
17508+80196,97704
4536+695,5231
87+29,116
539+406,945
5+9,14
8+8,16
8169+5247,13416
447+607,1054
51796+93789,145585
5+7,12
29+85,114
4869+9999,14868
8299+459,8758
7149+7246,14395
1986+6425,8411
836+976,1812
39+96,135
6+5,11
62939+288098,351037
21016+2326,23342
5+5,10
766109+89878,855987
81438+561405,642843
453196+807469,1260665
54696+51006,105702
65+28,93
7+7,14
719+508,1227
666415+106548,772963
5+6,11
855+168,1023
97089+90587,187676
88+38,126
689+996,1685
69708+83866,153574
91789+79159,170948
7+9,16
7196+7607,14803
201269+578986,780255
48+15,63
52175+55859,108034
8+8,16
2747+6925,9672
5+9,14
419969+264226,684195
59+88,147
4545+21858,26403
705687+209227,914914
908+15,923
564078+232476,796554
89+96,185
17+785,802
247319+261686,509005
105+588,693
195095+271155,466250
8+55,63
98+25,123
75+15,90
79+4187,4266
54327+98769,153096
36529+94479,131008
8+5,13
73489+13106,86595
257+895,1152
1746+3576,5322
529+686,1215
8+7,15
67398+83445,150843
84259+36466,120725
59+55,114
8+8,16
575+958,1533
625+397,1022
5+89,94
77+405,482
311179+861905,1173084
77+67,144
6+6,12
953545+120128,1073673
98+57,155
5+6,11
5155+3255,8410
795079+407177,1202256
798056+950316,1748372
5+8,13
409+396,805
5+7,12
366+85,451
18497+13595,32092
55356+95209,150565
8+675,683
6969+80185,87154
4038+7848,11886
394496+530066,924562
2558+328,2886
173657+426245,599902
8+9,17
26+929,955
56+17,73
5+5,10
5305+88688,93993
216+165,381
2908+4576,7484
879+599,1478
95+96,191
6037+3626,9663
6+8,14
217+479,696
2075+1159,3234
6+29,35
18+96,114
581896+705915,1287811
8635+8555,17190
95979+72165,168144
5379+89315,94694
28978+28459,57437
825+275,1100
25+85,110
89+27,116
204146+474326,678472
165999+302025,468024
6+5,11
226+776,1002
356+305,661
69+55,124
8+7,15
596+3775,4371
9197+8328,17525
5+6,11
17465+90298,107763
104389+419666,524055
16+39,55
8+8,16
9+5,14
568+679,1247
8+6,14
198658+504946,703604
767+635,1402
339657+49629,389286
2626+6116,8742
366+257,623
421889+87997,509886
9+8,17
16+97,113
33858+32477,66335
57+85,142
46+36,82
6+5,11
7+9,16
5458+7695,13153
576947+535368,1112315
469+698,1167
63428+12545,75973
95+599,694
529+695,1224
97+67,164
2137+748,2885
96+17,113
146+48,194
332619+454309,786928
3739+1008,4747
85225+11588,96813
4525+3549,8074
874476+17328,891804
652375+772969,1425344
3377+148,3525
5+7,12
18+9,27
7+29,36
1426+5736,7162
8+5,13
91367+81726,173093
6+5,11
58+59,117
620926+973529,1594455
533227+273939,807166
20459+73539,93998
66+18,84
76107+87085,163192
78+19,97
60106+71266,131372
7+9,16
29+19,48
8468+7357,15825
2337+2226,4563
194429+589225,783654
7+68,75
39+57,96
373115+804678,1177793
75+536,611
85207+13625,98832
4635+9759,14394
4705+5547,10252
15165+41196,56361
640917+969397,1610314
758+209,967
425+6206,6631
9+8,17
6+5,11
37+95,132
68+79,147
60989+73128,134117
3198+2278,5476
759888+978655,1738543
46+39,85
9+5,14
430898+523127,954025
6+5,11
5765+44977,50742
8+265,273
44868+76498,121366
4169+3658,7827
5005+6357,11362
306+968,1274
929+778,1707
5+9,14
963537+59706,1023243
17+27,44
63646+31598,95244
899+599,1498
6637+4547,11184
416+497,913
8+9,17
93449+97436,190885
40887+22308,63195
62977+39889,102866
32107+97205,129312
707546+853465,1561011
927+208,1135
45+45,90
61298+39007,100305
27+15,42
68+57,125
35959+70868,106827
9+9,18
55+87,142
566+637,1203
5+6,11
3429+36227,39656
6+6,12
248+637,885
437965+868005,1305970
94697+2176,96873
7437+435,7872
385+506,891
96+49,145
2758+2337,5095
99+36,135
6+5,11
97+18,115
36+5,41
66+77,143
6755+765,7520
98+59,157
246+535,781
5+6,11
49+79,128
36+45,81
284716+901725,1186441
6+57,63
8+8,16
179+758,937
998+245,1243
8+7,15
872729+581226,1453955
959+665,1624
82377+33797,116174
6+5,11
5+15,20
3588+69019,72607
4035+9258,13293
9+9,18
29517+71227,100744
48+38,86
29+28,57
7+7,14
66+25,91
9637+3087,12724
46+47,93
8875+8997,17872
705+207,912
859+198,1057
746+928,1674
2958+6346,9304
78+58,136
96+27,123
8+5,13
1297+2059,3356
94116+56306,150422
59+97,156
3726+6298,10024
66157+498086,564243
315+386,701
5+7,12
21129+21216,42345
157+829,986
8769+4018,12787
54885+6449,61334
65+25,90
78739+58568,137307
641968+234217,876185
22136+20418,42554
7+6,13
31477+89119,120596
2699+9998,12697
129+839,968
9+5,14
6+8,14
2008+535,2543
538636+105059,643695
87+36,123
82695+29907,112602
8+8,16
76338+28386,104724
37618+85186,122804
7136+6848,13984
5+5,10
26+39,65
19+86,105
27916+87507,115423
6108+6598,12706
85+19,104
192797+761786,954583
969835+845727,1815562
665685+629596,1295281
6+7,13
9896+9257,19153
466+79,545
990747+729666,1720413
79967+70805,150772
47489+59948,107437
8397+8415,16812
4788+5366,10154
816499+804459,1620958
9+6,15
52109+262708,314817
8908+827,9735
589+137,726
9+9,18
5749+88396,94145
18568+30277,48845
35+55,90
199538+56418,255956
37847+67909,105756
18728+60015,78743
510346+444298,954644
74565+86528,161093
225+158,383
679+259,938
2196+536,2732
7+48,55
6487+4558,11045
65216+38359,103575
8+5,13
57+37,94
6+9,15
5+6,11
1176+3276,4452
4886+3958,8844
85227+94257,179484
67+15,82
59177+10508,69685
49145+77447,126592
3526+4787,8313
715947+973445,1689392
53786+80335,134121
9+6,15
3385+9265,12650
9+8,17
81529+78736,160265
7+9,16
1526+1747,3273
5377+8016,13393
56739+44675,101414
8+8,16
969148+336296,1305444
66459+9997,76456
10895+85735,96630
35215+18969,54184
424649+884997,1309646
572858+759589,1332447
99+5,104
76+95,171
1249+8839,10088
170599+844518,1015117
726+868,1594
